round,loss,recon_loss,kl_loss,num_available,mean_staleness
1,463.2633948730469,462.9534127929688,0.30998228483200074,5,0.75
10,338.3328146484375,326.0835128417969,12.2493000579834,2,3.0
20,185.90372583007812,175.82967641601562,10.074049279785156,5,2.7
30,166.83661154785156,154.79009331054687,12.046518003845215,8,2.15
40,153.57708056640624,139.5333677734375,14.043713171386718,3,3.55
50,147.63278935546876,132.2189221069336,15.413866537475586,6,2.55
60,142.97593046875,126.66494672851563,16.31098355102539,4,2.65
70,137.72846223144532,120.20134038085938,17.527122338867187,3,2.95
80,134.02433725585936,115.73546088867188,18.28887767944336,4,3.0
90,129.0562740234375,109.64546159667968,19.41081213378906,8,2.5
100,126.2697973876953,106.11952802734375,20.150269845581054,6,1.95
