round,loss,recon_loss,kl_loss,num_available,mean_staleness,num_echoes_used,mean_echo_weight
1,463.2633948730469,462.9534127929688,0.30998228483200074,5,0.75,0,0.0
10,180.23813825683592,172.78413654785157,7.45400124206543,2,3.0,11,0.3473760487158842
20,157.04881630859376,143.6824009765625,13.366416027832031,5,2.7,9,0.36869206555209605
30,143.8381229736328,126.79278142089844,17.04534179382324,8,2.15,6,0.34077323455389547
40,135.11358813476562,116.34704848632812,18.766539837646484,3,3.55,8,0.21498269018998584
50,131.43179306640624,111.40327153320312,20.02852060852051,6,2.55,9,0.14869095457166243
60,128.48046423339844,108.13205678710938,20.348406964111327,4,2.65,11,0.11896845051154686
70,125.64866823730469,104.3391365234375,21.309531420898438,3,2.95,8,0.10562000376221818
80,123.61292663574218,101.70049880371094,21.91242822265625,4,3.0,7,0.1462736140035706
90,120.92469710693359,98.49642337646485,22.428273483276367,8,2.5,4,0.07133326589041862
100,119.18387845458984,96.40695987548828,22.776918630981445,6,1.95,9,0.11333471379367571
